,Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
929,Terry Devlin,693440,€1.00m,"May 27, 2025","Nov 6, 2003",22,1.8,Northern Ireland,[],Right-Back,,Portsmouth,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
930,Václav Hladký,95795,€300k,"May 27, 2025","Nov 14, 1990",35,1.92,Czech Republic,[],Goalkeeper,,Burnley,,,"Jul 19, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
931,Alfie Massey,967306,,,"Jan 18, 2006",19,1.83,England,['England'],Central Midfield,,Wealdstone,,,"Aug 12, 2025","Jan 3, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
932,Ivo Grbic,226073,€1.80m,"Jun 18, 2025","Jan 18, 1996",29,1.95,Croatia,[],Goalkeeper,,Karagümrük,,,"Aug 6, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
933,Liam Gibbs,724785,€2.00m,"May 27, 2025","Dec 16, 2002",22,1.78,England,[],Central Midfield,,Norwich,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
934,Min-hyeok Yang,1004327,€3.00m,"Oct 6, 2025","Apr 16, 2006",19,1.76,"Korea, South","['Korea, South']",Right Winger,"             0
0  Left Winger",Portsmouth,,,"Aug 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
935,Sammie Szmodics,292139,€8.00m,"Oct 6, 2025","Sep 24, 1995",30,1.68,Ireland,[],Attacking Midfield,,Ipswich,,,"Aug 16, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
936,Jed Wallace,198358,€1.80m,"May 27, 2025","Mar 29, 1994",31,1.78,England,['England'],Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",West Brom,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
937,Freddie Anderson,1169857,€75k,"Jun 20, 2025","Oct 23, 2006",19,1.87,United States,[],Centre-Back,,Cork City,,,"Jan 23, 2025","Nov 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
938,Fábio Tavares,614086,€200k,"Jun 18, 2025","Jan 22, 2001",24,1.78,Portugal,"['Portugal', 'England']",Centre-Forward,"              0
0   Left Winger
1  Right Winger",Burton Albion,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
939,Tom McIntyre,339235,€600k,"Jun 18, 2025","Nov 6, 1998",27,1.85,Scotland,[],Centre-Back,,Bradford,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
940,Augustus Kargbo,549791,€1.00m,"May 27, 2025","Aug 24, 1999",26,1.72,Sierra Leone,[],Second Striker,,Blackburn,,,"Jan 31, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
941,Ryan Longman,512175,€2.00m,"Jun 18, 2025","Nov 6, 2000",25,1.8,England,['England'],Right Winger,"                0
0     Left Winger
1  Centre-Forward",Wrexham,,,"Jan 24, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
942,Adam Mayor,1050650,€350k,"Jun 30, 2025","Apr 10, 2005",20,1.7,England,['England'],Left-Back,"               0
0  Left Midfield
1    Left Winger",Cambridge Utd.,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
943,Michael Ihiekwe,145923,€250k,"May 27, 2025","Nov 20, 1992",33,1.85,England,"['Nigeria', 'England']",Centre-Back,"            0
0  Right-Back",Blackpool,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
944,Junior Tchamadeu,851991,€1.50m,"Oct 6, 2025","Dec 22, 2003",21,1.8,Cameroon,"['Cameroon', 'England']",Right-Back,"                0
0  Right Midfield
1       Left-Back",Stoke City,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
945,Aji Alese,502065,€1.00m,"May 27, 2025","Jan 17, 2001",24,1.92,England,"['Nigeria', 'England']",Centre-Back,"           0
0  Left-Back",Sunderland,,,"Jul 15, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
946,Hayden Matthews,1109824,€1.30m,"May 27, 2025","Jun 19, 2004",21,1.95,Australia,['Australia'],Centre-Back,,Portsmouth,,,"Jan 27, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
947,Kevin Nisbet,360661,€2.00m,"Oct 8, 2025","Mar 8, 1997",28,1.8,Scotland,['Scotland'],Centre-Forward,,Aberdeen FC,,,"Sep 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
948,Michael Baidoo,471145,€2.50m,"May 27, 2025","May 14, 1999",26,1.74,Ghana,['Ghana'],Attacking Midfield,"                  0
0  Central Midfield
1    Centre-Forward",Umm Salal SC,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
949,Marcus McGuane,340320,€800k,"May 27, 2025","Feb 2, 1999",26,1.78,England,"['Ireland', 'England']",Defensive Midfield,"                  0
0  Central Midfield",Huddersfield,,,"Jul 23, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
950,Jordan Thorniley,411255,€250k,"May 27, 2025","Nov 24, 1996",28,1.81,England,['England'],Centre-Back,"           0
0  Left-Back",Northampton,,,"Jul 17, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
951,Barry Bannan,61561,€200k,"May 27, 2025","Dec 1, 1989",35,1.69,Scotland,[],Central Midfield,,Sheff Wed,,,"Aug 31, 2015","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
952,Amari'i Bell,278166,€1.20m,"May 27, 2025","May 5, 1994",31,1.8,Jamaica,[],Centre-Back,,Charlton,,,"Jul 4, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
953,Abdoulaye Kamara,718232,€600k,"Oct 10, 2025","Nov 6, 2004",21,1.85,France,[],Defensive Midfield,,Saarbrücken,,,"Sep 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
954,James Collins,62640,€125k,"Jun 18, 2025","Dec 1, 1990",34,1.88,Ireland,[],Centre-Forward,,Lincoln City,,,"Jan 20, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
955,Daniel Johnson,169092,€500k,"Jun 25, 2025","Oct 8, 1992",33,1.74,Jamaica,"['England', 'Jamaica']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Karagümrük,,,"Sep 3, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
956,Rayan Kolli,867699,€1.50m,"May 27, 2025","Feb 10, 2005",20,1.8,Algeria,[],Centre-Forward,,QPR,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
957,Chris Willock,314341,€1.60m,"May 27, 2025","Jan 31, 1998",27,1.78,England,"['Montserrat', 'England']",Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Cardiff,,,"Jul 12, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
958,Amario Cozier-Duberry,878150,€2.00m,"May 27, 2025","May 29, 2005",20,1.7,England,[],Right Winger,,Bolton,,,"Jul 5, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
959,Kyle Bartley,67421,,,"May 22, 1991",34,1.94,England,"['Jamaica', 'England']",Centre-Back,,Retired,West Brom,"Aug 8, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
960,Ashley Phillips,859951,€2.80m,"May 27, 2025","Jun 26, 2005",20,1.96,England,"['Wales', 'England']",Centre-Back,,Stoke City,,,"Aug 23, 2024","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
961,Dane Scarlett,670883,€2.00m,"May 30, 2025","Mar 24, 2004",21,1.8,England,[],Centre-Forward,,Tottenham,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
962,Patrick Bamford,183334,€1.50m,"Oct 21, 2025","Sep 5, 1993",32,1.85,England,[],Centre-Forward,,Sheff Utd,,,"Nov 13, 2025","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
963,Jordan Williams,346468,€800k,"Oct 6, 2025","Oct 22, 1999",26,1.79,England,['England'],Right-Back,"             0
0  Centre-Back",Portsmouth,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
964,Semi Ajayi,251912,€1.00m,"May 27, 2025","Nov 9, 1993",32,1.93,Nigeria,"['Nigeria', 'England']",Centre-Back,"                    0
0  Defensive Midfield",Hull City,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
965,Kelechi Iheanacho,295330,€4.50m,"May 27, 2025","Oct 3, 1996",29,1.85,Nigeria,['Nigeria'],Centre-Forward,"                0
0  Second Striker",Celtic,,,"Sep 2, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
966,James Shea,91340,€150k,"May 27, 2025","Jun 16, 1991",34,1.85,England,[],Goalkeeper,,Luton,,,"Jul 3, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
967,Doğukan Sinik,370833,€1.50m,"Oct 1, 2025","Jan 21, 1999",26,1.8,Türkiye,[],Left Winger,,Antalyaspor,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
968,Max Bird,486464,€4.00m,"Oct 6, 2025","Sep 18, 2000",25,1.83,England,['England'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Bristol City,,,"Feb 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
969,Joe Anderson,511551,€175k,"May 27, 2025","Feb 6, 2001",24,1.88,England,[],Centre-Back,,Sunderland,,,"Jan 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
970,Deago Nelson,955876,,,"Dec 5, 2005",19,,England,['England'],Right-Back,"           0
0  Left-Back",West Brom U21,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
971,Joe Rankin-Costello,411229,€1.20m,"Oct 6, 2025","Jul 26, 1999",26,1.83,England,['England'],Right-Back,"                  0
0  Central Midfield
1    Right Midfield",Charlton,,,"Jul 11, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
972,Lewis Dobbin,627248,€2.50m,"May 27, 2025","Jan 3, 2003",22,1.75,England,[],Left Winger,,Preston,,,"Aug 22, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
973,Jobe Bellingham,796297,€30.00m,"Oct 14, 2025","Sep 23, 2005",20,1.91,England,[],Central Midfield,,Dortmund,,,"Jun 10, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
974,Matej Jurasek,726714,€7.00m,"May 27, 2025","Aug 30, 2003",22,1.81,Czech Republic,[],Right Winger,,Norwich,,,"Jan 16, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
975,George Edmundson,385848,€800k,"May 27, 2025","Aug 15, 1997",28,1.9,England,['England'],Centre-Back,,Middlesbrough,,,"Jan 25, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
976,Reece Burke,264220,€1.50m,"May 27, 2025","Sep 2, 1996",29,1.89,England,['England'],Centre-Back,"            0
0  Right-Back",Charlton,,,"Jul 9, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
977,Jay Dasilva,258915,€4.50m,"Oct 6, 2025","Apr 22, 1998",27,1.7,Wales,[],Left-Back,,Coventry,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
978,Joe Edwards,121773,€100k,"May 27, 2025","Oct 31, 1990",35,1.73,England,['England'],Right-Back,"                  0
0  Central Midfield
1    Right Midfield",Plymouth,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
979,James Beadle,670860,€5.00m,"May 27, 2025","Jul 16, 2004",21,2.01,England,[],Goalkeeper,,Birmingham,,,"Jul 2, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
980,Liam Lindsay,228912,€1.80m,"May 27, 2025","Oct 12, 1995",30,1.91,Scotland,[],Centre-Back,,Preston,,,"Jul 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
981,Sam Byram,236953,€800k,"May 27, 2025","Sep 16, 1993",32,1.83,England,['England'],Left-Back,"                0
0      Right-Back
1  Right Midfield",Leeds,,,"Aug 5, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
982,Ben Wilmot,467599,€5.00m,"Oct 6, 2025","Nov 4, 1999",26,1.88,England,[],Centre-Back,,Stoke City,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
983,Daniel Watts,766254,,,"Dec 16, 2005",19,1.7,Wales,['Wales'],Central Midfield,"                0
0  Right Midfield
1      Right-Back",Swansea U21,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
984,Milan Aleksic,942738,€700k,"May 27, 2025","Aug 30, 2005",20,1.79,Serbia,"['Serbia and Montenegro', 'Serbia']",Attacking Midfield,"                    0
0    Central Midfield
1  Defensive Midfield",Cracovia,,,"Sep 5, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
985,Victor Torp,403692,€5.00m,"Oct 6, 2025","Jul 30, 1999",26,1.78,Denmark,[],Central Midfield,,Coventry,,,"Jan 11, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
986,Ayman Benarous,742494,€200k,"May 27, 2025","Jul 27, 2003",22,1.73,England,"['Algeria', 'England']",Central Midfield,"                    0
0  Attacking Midfield
1       Left Midfield",Plymouth,,,"Jul 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
987,Wes Harding,526694,€1.00m,"May 27, 2025","Oct 20, 1996",29,1.81,Jamaica,[],Centre-Back,,Millwall,,,"Jul 21, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
988,Rúben Rodrigues,531674,€500k,"May 27, 2025","Aug 2, 1996",29,1.81,Portugal,"['Portugal', 'Netherlands']",Attacking Midfield,"              0
0   Left Winger
1  Right Winger",EC Vitória,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
989,Kaine Kesler-Hayden,626888,€4.00m,"Oct 6, 2025","Oct 23, 2002",23,1.75,England,['England'],Right-Back,"                0
0  Right Midfield",Coventry,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
990,Aaron Ramsey,50057,€500k,"Oct 21, 2025","Dec 26, 1990",34,1.78,Wales,[],Central Midfield,,Without Club,UNAM Pumas,"Oct 31, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
991,Harry Gray,1108476,€500k,"May 27, 2025","Oct 8, 2008",17,1.81,England,['England'],Centre-Forward,,Leeds U21,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
992,Vini Souza,663581,€15.00m,"May 27, 2025","Jun 17, 1999",26,1.87,Brazil,['Brazil'],Defensive Midfield,"                  0
0  Central Midfield",Wolfsburg,,,"Jul 5, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
993,Svante Ingelsson,321079,€1.00m,"May 27, 2025","Jun 14, 1998",27,1.89,Sweden,[],Central Midfield,,Sheff Wed,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
994,Mark Travers,357658,€4.00m,"May 27, 2025","May 18, 1999",26,1.91,Ireland,[],Goalkeeper,,Everton,,,"Jul 15, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
995,Liam Thompson,581331,€800k,"Oct 6, 2025","Apr 29, 2002",23,1.73,England,['England'],Central Midfield,"                    0
0  Defensive Midfield",Derby,,,"Jan 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
996,Lewis Gibson,419325,€2.20m,"Oct 6, 2025","Jul 19, 2000",25,1.85,England,['England'],Centre-Back,"           0
0  Left-Back",Preston,,,"Jan 3, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
997,Caleb Wiley,746833,€8.00m,"May 27, 2025","Dec 22, 2004",20,1.8,United States,['United States'],Left-Back,"               0
0  Left Midfield
1    Left Winger",Watford,,,"Feb 3, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
998,Alfie Doughty,608175,€6.50m,"May 27, 2025","Dec 21, 1999",25,1.83,England,['England'],Left Midfield,"                0
0       Left-Back
1  Right Midfield",Millwall,,,"Jul 28, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
999,Jóhann Berg Gudmundsson,89231,€600k,"May 27, 2025","Oct 27, 1990",35,1.86,Iceland,['Iceland'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Al-Dhafra FC,,,"Jul 10, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1000,John Swift,197693,€1.80m,"Oct 6, 2025","Jun 23, 1995",30,1.82,England,[],Attacking Midfield,,Portsmouth,,,"Jul 15, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1001,Luke Pearce,744956,€75k,"May 27, 2025","Jun 8, 2004",21,1.8,Ireland,"['Ireland', 'England']",Centre-Forward,"              0
0  Right Winger",Cardiff U21,,,"Jul 4, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1002,Harry Whitwell,930547,,,"Nov 16, 2005",20,,England,[],Central Midfield,,Forest Green,,,"Aug 15, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1003,Jonathan Rowe,672381,€17.00m,"Oct 7, 2025","Apr 30, 2003",22,1.73,England,[],Left Winger,,Bologna,,,"Aug 24, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1004,Tyrese Campbell,382554,€9.00m,"Oct 6, 2025","Dec 28, 1999",25,1.85,England,"['Jamaica', 'England']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Sheff Utd,,,"Aug 11, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1005,Cody Drameh,531957,€3.00m,"May 27, 2025","Dec 8, 2001",23,1.81,England,[],Right-Back,,Hull City,,,"Jul 23, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1006,Muhamed Diomande,933093,,,"Feb 16, 2006",19,,Italy,"['Italy', ""Cote d'Ivoire""]",Centre-Back,"            0
0  Right-Back",West Brom U21,,,"Jul 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1007,Ivor Pandur,371013,€2.00m,"May 27, 2025","Mar 25, 2000",25,1.87,Croatia,['Croatia'],Goalkeeper,,Hull City,,,"Jan 20, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1008,Joe Wildsmith,319851,€400k,"May 27, 2025","Dec 28, 1995",29,1.89,England,[],Goalkeeper,,West Brom,,,"Jul 10, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1009,Lewis Baker,198589,€1.20m,"May 27, 2025","Apr 25, 1995",30,1.82,England,[],Central Midfield,,Stoke City,,,"Jan 15, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1010,Adam Forshaw,121257,€250k,"May 27, 2025","Oct 8, 1991",34,1.75,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Blackburn,,,"Jan 11, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1011,Layton Stewart,580801,€350k,"Oct 2, 2025","Sep 3, 2002",23,1.8,England,['England'],Centre-Forward,,FC Thun,,,"Jul 1, 2025","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1012,Michael Obafemi,444208,€1.70m,"May 27, 2025","Jul 6, 2000",25,1.7,Ireland,"['Nigeria', 'Ireland']",Centre-Forward,"                0
0    Right Winger
1  Second Striker",VfL Bochum,,,"Sep 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1013,Kaide Gordon,732119,€1.00m,"May 27, 2025","Oct 5, 2004",21,1.73,England,"['Jamaica', 'England']",Right Winger,"             0
0  Left Winger",Liverpool U21,,,"Jul 1, 2021",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1014,Jack Currie,851972,€600k,"Oct 6, 2025","Dec 16, 2001",23,1.75,England,['England'],Left-Back,"               0
0  Left Midfield",Oxford United,,,"Jul 5, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1015,Gustavo Hamer,322985,€16.00m,"May 27, 2025","Jun 24, 1997",28,1.69,Netherlands,"['Brazil', 'Netherlands']",Central Midfield,"                    0
0  Defensive Midfield
1       Left Midfield",Sheff Utd,,,"Aug 12, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1016,Darragh Lenihan,183167,€1.00m,"Oct 6, 2025","Mar 16, 1994",31,1.87,Ireland,['Ireland'],Centre-Back,"                    0
0  Defensive Midfield",Middlesbrough,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1017,Alfie Jones,340990,€4.00m,"May 27, 2025","Oct 7, 1997",28,1.91,Canada,"['Canada', 'England']",Centre-Back,"                    0
0  Defensive Midfield",Middlesbrough,,,"Jul 25, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1018,Charlie Hughes,746357,€3.50m,"May 27, 2025","Oct 16, 2003",22,1.85,England,['England'],Centre-Back,,Hull City,,,"Aug 16, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1019,Roko Simic,658693,€2.00m,"May 27, 2025","Sep 10, 2003",22,1.9,Croatia,[],Centre-Forward,,Karlsruher SC,,,"Jul 1, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1020,Liam Walsh,314998,€500k,"May 27, 2025","Sep 15, 1997",28,1.68,England,[],Central Midfield,,Luton,,,"Aug 20, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1021,Isaac Hayden,206225,€700k,"May 27, 2025","Mar 22, 1995",30,1.87,Jamaica,"['Jamaica', 'England']",Defensive Midfield,"             0
0  Centre-Back",QPR,,,"Aug 25, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1022,Sam Long,238591,€200k,"May 27, 2025","Jan 16, 1995",30,1.8,England,['England'],Right-Back,"             0
0  Centre-Back",Oxford United,,,"Jul 1, 2013",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1023,Frank Vare,1083748,,,"Sep 12, 2007",18,,England,['England'],Midfield,,Blackburn U18,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1024,Michal Helik,255383,€1.30m,"Oct 6, 2025","Sep 9, 1995",30,1.91,Poland,[],Centre-Back,,Oxford United,,,"Jan 17, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1025,Matt Crooks,169416,€800k,"May 27, 2025","Jan 20, 1994",31,1.91,England,[],Central Midfield,,Hull City,,,"Jan 10, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1026,Min-hyeok Yang,1004327,€3.00m,"Oct 6, 2025","Apr 16, 2006",19,1.76,"Korea, South",[],Right Winger,,Portsmouth,,,"Aug 8, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
1027,Jamie Knight-Lebel,1002286,€200k,"Jun 30, 2025","Dec 24, 2004",20,1.88,Canada,['Canada'],Centre-Back,,Swindon Town,,,"Sep 1, 2025","May 31, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
